id,question,level,,,,
254, Specify the thickness of a galvanized coating based on atmospheric data? (level 2),3,,,,
255, How does one specify the syntactical restrictions,3,,,,
256, Specify a deterministic finite automaton (DFA) recognizing the,3,,,,
257, Take a collection of photographs to demonstrate a particular point,3,,,,
258, Use a costing model to compute prices on goods to maximise profits and minimise costs,3,,,,
259, Use a manual to calculate an employee's vacation time,3,,,,
260, Use the distance travelled and cost of petrol to calculate the cost of a coach trip using a spreadsheet,3,,,,
261, Use the rule for a semicolon in a sentence,3,,,,
262, What factors would you change if ,3,,,,
263, What questions would you ask if ,3,,,,
264, Who can use what we know about sonnets and finish this poem?,3,,,,
265, Would this information be useful if you had a ,3,,,,
266,  Sketch a prediction of the field lines for the arrangement of electrodes shown in Figure 2,3,,,,
267, Sketch the blackbody curves for radiation emitted from the Sun and the Earth,3,,,,
268, Sketch a typical absorption process in a packed column with regeneration in form of,3,,,,
269,  sketch a graph of velocity versus time for the upward and downward parts of a ball's flight,3,,,,
270, How do teenagers use code in emails and instant messages?,3,,,,
271,  Use the second-derivative test to determine whether critical points where f0(x) = 0 yield relative maxima or relative minima,3,,,,
272,   Use the unification algorithm to determine whether the following two terms are uni_able,3,,,,
273, Use tableau methods to prove that the following tableau is valid,3,,,,
274, Use a sketch too find the exact value of each expression,3,,,,
275, Use Gauss' Law to find the electric field between the plates when the charge on them is Q,3,,,,
276,  What happens if you restrict a determinental process to a subset R  S?,3, ,,,
277, What would happen if the rainfall doubled in your state next year,3, ,,,
278, What happens if you change the direction of the displacement (but not its size)?,3,,,,
279, What would you do if a heavy growth of bacteria had occurred,3, ,,,
280, What would result if ,3,,,,
281, What approach would you use to prove the truth of the below statement,3,,,,
282,  Construct one Turing Machine for computing each of the following functions,3,,,,
283, Construct a Venn diagram to determine the validity of the given argument,3,,,,
284, Construct a dictionary and a truth table to determine if the following statements are logically equivalent,3,,,,
285," How can we construct H given I, B and E?",3,,,,
286,  Construct a family of networks to demonstrate that the number of different mincuts in a network can be exponential in the size of the network,3,,,,
287,  How do you construct foliations on a given manifold M?,3,,,,
288, How to Construct the Optimal Maintenance Problem,3,,,,
289, How to construct simple solutions when problems are complex?,3,,,,
290, Construct the 4-Bit Ripple carry Adder Circuit,3,,,,
291, Construct an analog circuit with the following specifications,3,,,,
292, Construct the Data Path of the RISC Processor given in the previous question,3,,,,
293, How do we construct agents that can deliver,3,,,,
294, How to construct the selected information system,3,,,,
295, Show how they have used creative writing strategies appropriate to the format,3,,,,
296, Show how to modify Fitch's algorithm given in class today to accommodate non-binary,3,,,,
297, Show how E-CRM can be used to improve marketing positioning as explained in the article,3,,,,
298, How would you show your understanding of the ABC process,3,,,,
299, Show me how you would check the brake lights are working on this car,3,,,,
300, Analyze safe and dangerous aspects of these features,4,,,,
301, Analyze the characteristics of frogs,4,,,,
302, Analyze the movements and sounds of a frog,4,,,,
303," Analyze the problem, identifying its variables",4,,,,
304, Break down the components of a standard film camera and explain how they interact to make the machine work,4,,,,
305, Break down the main actions of the story,4,,,,
306," By comparing the map of the tectonic plates to the earthquake map, what inferences can you make?",4,,,,
307, Can you compare your ,4,,,,
308, Can you distinguish between ,4,,,,
309, Can you explain what must have happened when ,4,,,,
310, Can you find four different feelings Pa Lia had during the story?,4,,,,
311, Compare and contrast animals that the class has made,4,,,,
312, Compare and contrast our school to other communities,4,,,,
313," Compare and contrast preview questions, clarifying questions and anticipated exam questions, including how each relates to the notetaking process?",4,,,,
314, Compare and contrast the waterfall model with the prototyping model,4,,,,
315, Compare and contrast two characters in the book,4,,,,
316, Compare fall and spring,4,,,,
317, Compare herbatious and carnivorous animals on a Venn diagram,4,,,,
318, Compare how different children come to school,4,,,,
319, Compare the place where the story happened with where you live,4,,,,
320, Compare this book to the last book you read,4,,,,
321, Compare three celebrations using a Venn diagram,4,,,,
322, Compare two dog food commercials,4,,,,
323, Compare two of the characters in this book,4,,,,
324, Conduct an investigation to produce information to support a view,4,,,,
325, Contrast building in the coastal zone with building in a river floodplain,4,,,,
326, Contrast Olympic athletes of today with athletes of past Olympic games,4,,,,
327, Differentiate between ,4, ,, , 
328, Differentiate printf function calls for displaying prompts and for echoing data,4, ,,,
329, Distinguish between micro and macro economics,4, ,,,
330, Distinguish facts from hypotheses,4,,,,
331," Divide the story into initiating event, rising action, climax, and falling action",4,,,,
332," Examine what helps to make a good Olympics? Think about money, schedules, sports and people",4,,,,
333," Explain the term conjugal families, by making reference to the different types of societies to which they could belong",4,,,,
334, analyze the positive and negative points presented concerning the abolition of guns and write a brief (2-3page) narrative of your analysis,4,,,,
335," Differentiate the passages that attacked a political opponent personally, and those that attacked an opponent's political programs",4,,,,
336, How does your pet differ from other animals?,4,,,,
337, How does,4,,,,
338, How is ,4,,,,
339, How was life different in your town 100 years ago?,4,,,,
340, How was this similar to ,4,,,,
341, How would this story be different if it had happened in a different country?,4,,,,
342, How would you distinguish between polymyositis and viral myositis in a 42-year-old man with weakness and a rash?,4,,,,
343," If your story happened in a foreign land, compare that land to the United States",4,,,,
344," If your story occurred long ago, compare that time with today in a good paragraph",4,,,,
345, Investigate innovations that can enhance future Olympics,4,,,,
346, Make a diagnosis or analyze a case study,4,,,,
347, Select the athlete of the century and analyze why you chose this person,4,,,,
348," If interest were compounded monthly instead of daily, what would the difference in interest be?",4,,,,
349, What are the parts or features of,4,,,,
350, Distinguish between the following giving suitable examples,4,,,,
351, Distinguish between abstract date types (ADTs) and implementations of ADTs,4,,,,
352,"  How do you distinguish between the binge-eating/purging type of anorexia nervosa and bulimia nervosa, purging type",4,,,,
353, How does Tdap differ from Td vaccine,4,,,,
354, How does autonomy differ with age,4,,,,
355, In what ways do female offenders differ from male offenders,4,,,,
356, in what ways trajectory patterns differ according to ABC,4,,,,
357, How do psychologists differ in their general attitudes toward third party presence,4,,,,
358, How did Chinese newspapers differ from US,4, ,,, 
359, How does public health reporting differ today from reporting two years before,4,,,,
360, How does an endorsement differ from a teaching certificate,4, ,,,
361, How do we differentiate between genuine buyer and undercover buyer,4,,,,
362,  How do we differentiate between an interview and an interrogation?,4,,,,
363, Differentiate between the following terms along with appropriate examples,4,,,,
364, Differentiate the following functions using the quotient rule,4,,,,
365, Can you differentiate between ethnic Chinese and ethnic Koreans,4,,,,
366, How would you differentiate obstructive apneas from central apneas,4,,,,
367, How would you differentiate a project from a program,4,,,,
368, How is scientific progress similar to Darwinian evolution according to Kuhn,4,,,,
369," in what ways is oxyperoxidase similar to other oxygenated heme proteins, and how does it differ",4,,,,
370, In what ways are foxes similar to wolves and dogs,4,,,,
371,  How are the adolescents with ASD similar of different from each other in their sources of communication breakdowns ?,4,,,,
372, Examine the data in the EMPLOYEES and DEPARTMENTS tables,4,,,,
373,  Examine the differences between the model excluding the most influential observation and the model including all observations,4,,,,
374, Critically examine the strengths and weaknesses of the positivist paradigm,4,,,,
375, Examine differences between the means of each individual switching factor,4,,,,
376,  Examine carefully the given map extract on the following page to help you work out the exercise below,4,,,,
377,"  Inspect each of these Boolean expressions, and determine whether each one is a sum of products, or a product of sums",4,,,,
378,  Inspect the size of the loaded data: how many objects and variables does the iris data matrix contain?,4,,,,
379,  Can you distinguish for me between what is reasonably  achievable and what are  exaggerations,4,,,,
380, Can you distinguish aged rums from unaged rums by smell,4,,,,
381, Can you distinguish pot still rums from column still rums by taste,4,,,,
382," Inspect the pattern of GPS positions relative to the ""known"" published value",4,,,,
383, How does your agency inspect against its expectation for operators,4,,,,
384, How to inspect and maintain fresh water plumbing systems properly,4,,,,
385, Can you analyze the fractures and determine which should be repaired surgically,4,,,,
386, Can you please analyze modern contemporary culture and tell me how your work plays a significant part in the remains of our post-modernist culture ?,4,,,,
387," How effectively did students analyze course content on race, class, and privilege through autobiographical reflection",4,,,,
388, How do you analyze a marginally RCT,4,,,,
389," Contrast the treatment of ""well known"" trademarks provided by Paris Article and by TRIPS Article",4,,,,
390, Contrast the Valles Marineris on Mars with the Grand Canyon,4,,,,
391, How does Hawaii contrast and compare to Florida?,4,,,,
392, Investigate whether or not the system can be solved for x; y; z,4,,,,
393, Investigate (pointwise) convergence and absolute convergence of the given series of functions,4,,,,
394, How would you investigate this patient,4,,,,
395, How would you investigate this abnormality,4,,,,
396, What can I do to investigate this problem further,4,,,,
397, how the investigation was undertaken,4,,,,
398, How would you differentiate between heterodox and mainstream,4,,,,
399," How do I differentiate between ""deceive"" and ""cheat on""?",4,,,,
400, Apply and integrate several different strategies to solve a mathematical problem (not according to one formula(,5,,,,
401, Can you create new and unusual uses for ,5,,,,
402, Can you design a ,5,,,,
403, Can you develop a proposal which would ,5,,,,
404, Can you invent another character for the story?,5,,,,
405, Can you see a possible solution to ,5,,,,
406, Can you write a new recipe for a tasty dish?,5,,,,
407, Choose a character,5,,,,
408, Combine any two sports to develop a new Olympic sport,5,,,,
409," Combine elements of drama, music, and dance into a stage presentation",5,,,,
410, Compose a class story,5,,,,
411, Compose a dialogue between Atticus Finch and Tom Robinson when they first met,5,,,,
412, Compose a rhythm or put new words to a known melody,5,,,,
413, Compose a simple rap or rhyme about zoo animals,5,,,,
414, Compose music for a frog play,5,,,,
415, Compose a complete C program that reads text strings from a text file into a suitable data,5,,,,
416, Compose a device that would assist an athlete in their training,5,,,,
417, Compose an original work which incorporates five common materials in sculpture,5,,,,
418, Compose your own note-taking design that incorporates all theadvantages of the Cornell Method,5,,,,
419, Create a chart that compares things that use electricity and things that do NOT use electricity,5,,,,
420, Create a new product,5,,,,
421," Create a new song for the opening line of ""Mary had a little lamb""",5,,,,
422, Create a set of guidelines to determine the points of a plant susceptible to localized corrosion,5,,,,
423, Create a storyboard for a sequel to your book,5,,,,
424, Create an equation to represent the solution to this problem,5,,,,
425, Create and perform a play about frogs,5,,,,
426, Create plan of local environment by drawing around boxes,5,,,,
427, Design a building according to given specifications,5,,,,
428, design a cost effective strategy to generate reliable data,5,,,,
429, Design a machine to perform a specific task,5,,,,
430, Design a new animal to live in the jungle,5,,,,
431, Design a poster for this book,5,,,,
432, Design a testing scenario to assess the susceptibility of an alloy to be used in a given environment?,5,,,,
433, Design and make an animal that moves,5,,,,
434, Design costumes for the characters,5,,,,
435, Design the architecture of the software system based on the requirements defined in the Software Requirement Specification document,5,,,,
436, Develop a hypothesis,5,,,,
437, Develop a plan for a new Olympic Bid System,5,,,,
438, Develop a SQA Plan for a software development project which is defined in the attached document,5,,,,
439," Develop a way to teach the concept of ""adjectives""",5,,,,
440, Develop one plausible ending for all three short stories below,5,,,,
441, Devise a new economic system based on the ones that already exist,5,,,,
442, Devise plans to market or make artwork more valuable,5,,,,
443, Draw a painting that uses various principles of perspective to achieve its effect,5,,,,
444," Explain how the biological concept of symbiotic relationships could be used to help solve socially created problems like water pollution, overflowing garbage landfills, or homelessness",5,,,,
445, Explain why it is likely that a matriarchal family system would be found in a matrilocal or matrilineal society,5,,,,
446," Following the identification of the forms of corrosion that were involved in a failure, recommend a solution to avoid this failure?",5,,,,
447, Given two opposing theories design an experiment to compare them,5,,,,
448, How could we determine the number of pennies in a jar without counting them?,5,,,,
449, How could you re-write this story with a city setting?,5,,,,
450," how do the clauses and expressions given in the article which replace GOTO statements, lead to the three traditional control statements",5,,,,
451, How many ways can you ,5,,,,
452, How would the U,5,,,,
453, How would you change the story to create a different ending?,5,,,,
454, How would you create/design a new,5,,,,
455, How would you restructure the school day to reflect children's developmental needs?,5,,,,
456, Identify one problem in the book and give an alternate solution one not given by the author,5,,,,
457, If you had access to all resources how would you deal with ,5,,,,
458, Integrate training from several sources to solve a problem,5,,,,
459, Invent a machine to do a specific task,5,,,,
460, Justify your choice of data structure,5,,,,
461, Make a radio announcement that advertise the book,5,,,,
462, Make up a new language code and write material using it,5,,,,
463, Name one character,5,,,,
464, Organize this book into three or more sections and give your own subtitle for each section,5,,,,
465, Plan a research paper on a given historical topic,5,,,,
466, Predict the differences of a planet with no seasonal changes,5,,,,
467, Prepare a book jacket that illustrates the kind of book as well as the story,5,,,,
468, Pretend you are a librarian recommending this book to someone,5,,,,
469, Revise and process to improve the outcome,5,,,,
470, Revise how to complete a complex task in order to improve the outcome,5,,,,
471, Revises and process to improve the outcome,5, ,,,
472," structure, sorts the list in ascending order, displays the list on the screen and stores the list",5, ,,,
473, Suppose Phillip wasn't rescued shortly after Timothy's death,5, ,,,
474," Using information from the book about one of the main characters, rewrite the ending of the book",5,,,,
475, What ideas can you add to,5, ,,,
476, What might happen if you combined,5,,,,
477, What solutions would you suggest for,5,,,,
478, What would happen if ,5,,,,
479, What would you predict/infer from,5,,,,
480, Why don't you devise your own way to deal with ,5,,,,
481, Why not compose a song about ,5,,,,
482," Write a C program that accepts integer inputs from the screen, computes the total and average values; and displays the values on the screen",5,,,,
483, Write a letter to the editor on a social issue of concern to you,5,,,,
484, Write a logically organized argument in favor of a given position,5,,,,
485, Write a poem about this book,5,,,,
486, Write a set of rules to prevent what happened in the story,5,,,,
487, Write a short story relating a personal experience in the style of a picaresque novel,5,,,,
488, Write a song about 'Old MacDonald' who had a bulldozer instead of a farm,5,,,,
489, Write an essay in not more than 250 words about India and Technological Advancement,5,,,,
490, How do you combine the results of various individual tests to determine whether a student can progress to a next semester / phase / year?,5,,,,
491,  How can we combine and abstract facts about a software system to create new knowledge?,5,,,,
492, How to combine virtual symmetry and symbolic model checking effectively,5,,,,
493, How do we efficiently combine multiple subject graphs to construct an aig with choice,5,,,,
494, how do we devise a way to enforce the laws,5,,,,
495, can you devise an explicit formula for,5,,,,
496, Do you devise a systematic approach in order to get larger progressions,5,,,,
497, Develop and execute a program for this exercise,5,,,,
498,  Develop a network based on the following information: Activity Immediate predecessors,5,,,,
499, How could we develop a coherent measure of success for organisations engaged in this type of activity with young people?,5,,,,
500," After designing an experiment, examining the results, and drawing conclusions, determines in what ways the experiment could be conducted more effectively in order to draw more productive conclusions in the future",6,,,,
501," After examining the videotape of a play in a football game, determine the degree to which the defensive team performed effectively and",6,,,,
502," After solving a problem, determine the degree to which the problem was solved as efficiently as possible",6,,,,
503, Appraise data in support of a hypothesis,6,,,,
504, Appraise the speech's effectiveness based upon the class' criteria,6,,,,
505, Are there students who should not use the Cornell method?,6,,,,
506, Are you a ,6,,,,
507, Assess the appropriateness of an author's conclusions based on the evidence given,6,,,,
508, Assess the importance of understanding seasonal patters,6,,,,
509, Assess the relative effectiveness of different graphical representations of the same data or biological concept,6,,,,
510, Assess the strengths and weaknesses of the current Olympics and recommend action that should be taken in future Olympics: What can be,6,,,,
511, Award the contract to the best proposal,6,,,,
512, Can you defend the idea that Simon's incident with the pig's head is the most mystical in the story?,6,,,,
513, Can you defend your position about ,6,,,,
514, Choose a paint schedule for the maintenance of an outdoor structure? (level 2),6,,,,
515, Choose and illustrate the two most important events in the story,6,,,,
516, Conclude and support which economic system leads to a higher standard of living,6,,,,
517, Construct a poster that will advertise your new food product in an exciting and irresistible way,6,,,,
518, Critique an experimental design or a research proposal,6,,,,
