id,question,level
54,"Create a requirements model using UML class notations and use-cases based on statements of user requirements, and to analyze requirements models given to them for correctness and quality.",1
55,"Create the OO design of a system from the requirements model in terms of a high-level architecture description, and low-level models of structural organization and dynamic behavior using UML class, object, and sequence diagrams.",2
56,Create software that implements the OO designs modeled using UML.,3
57,"Identify the nature of design patterns by understanding a small number of examples from different pattern categories, and to be able to apply these patterns in creating an OO design.",4
58,"Evaluate a design for applicability, reasonableness, and relation to other design criteria against given OO design heuristics, patterns or published guidance.",5
59,Recognize the 2D transformation concepts and viewing transformation.,2
60,Employ the 3D geometric and modelling transformations and viewing.,3
61,Describe the techniques to represent curves and surfaces.,4
62,Compare surface detection methods and shading methods.,5
63,Explain the roles that databases play in organizations and familiar with basic database storage and file organization.,1
64,Identify the database accessing techniques: indexing and hashing.,2
65,Examine the basics of query processing.,3
66,Discuss the basics of Object Oriented Databases and XML.,4
67,"Describe the concept of advanced topics such as database performance tuning, distributed databases.",5
68,Analyze non-relational database systems and structures and New Generation Database Systems like MongoDB.,6
69,Identify concepts in economics and interpret their role in managerial economics which will be useful in their profession and business.,1
70,Analyze and interpret demand and supply of goods and services in the economy and its influence and execute production analysis.,2
71,Recognize the effect of trade cycle in business and analyze various market situations.,3
72,Measure National Income and evaluate measures taken by RBI in controlling inflation.,4
73,"Analyze, compare and justify investment decisions based on capital budgeting methods.",5
74,"Prepare and analyze balance sheets, interpret taxation system in India, compare different sources of capital for firms and carry out demand forecast.",6
75,Explain the general characteristics of catalysts and the principle behind the catalytic activity,1
76,Outline appropriate preparative method for a catalyst,2
77,Apply the basic concepts and theory for characterization of catalysts,3
78,Identify various industrial catalysts,4
79,Analyze catalyst deactivation,5
80,Describe modern trends in catalyst technology,6
81,"Determine the percentage actual recovery of solutes using various leaching methods such as simple leaching, cross current leaching, and counter current leaching",1
82,Plan and execute experiments on adsorption isotherm and ternary liquid equilibrium,2
83,Determine the rate of batch drying and diffusion of vapor in air,3
84,Plan and execute experiments on simple distillation and liquid-liquid extraction,4
85,Plan and perform experiments using equipment used in industrial operations such as packed bed absorption and packed bed distillation,5
86,Derive the magnetic characteristics of iron ring specimen,1
87,"Estimate the resistance, inductance and capacitance of circuit elements",2
88,Justify DC network theorems by setting up various networks,3
89,Analyze RLC circuits and coupled circuit to obtain the voltage -current relations,4
90,Perform calibration of single phase and three phase energy meters at various power factor,5
91,Determine power in single and three phase circuits by various methods,6
92,List various casting processes and recall the technology related to each,1
93,Select the rolling methods required for getting the required shapes of rolled products,2
94,Identify the important aspects of the forging techniques,3
95,Discuss the principles of location and clamping,4
96,Compare the different sheet metal working processes and justify their applications to produce various shapes and products,5
97,Explain various types of welding processes,6
98,Design an algorithmic solution for a given problem,1
99,Choose the loops and decision making statements  to solve the problem,2
100,Infer various authentication protocols and processes,6
101,"Use simple data structures like arrays, stacks and linked list in solving  problems.",3
102,"Explain programs with pointers and arrays,pointer  arithmetic, and use the pre-processor techniques",4
103,Practice simple applications of real life using structures and files.,5
104,Demonstrate file Operations in C programming for a  given application,6
105,Apply optimization techniques to formulate and solve practical problems,1
106,Apply different numerical methods for optimization of single variable unconstrained functions,2
107,Solve unconstrained multivariable optimization problems,3
108,Solve linear programming and nonlinear programming problems with constraints using various methods,4
109,Analyze typical applications of optimization techniques in chemical process industries,5
110,Apply design principles and concepts to algorithm design,1
111,Analyze the efficiency of algorithms using time and space complexity theory,2
112,Analyze worst-case running times of algorithms using asymptotic analysis,3
113,Illustrate different algorithmic design strategies,4
114,Identify appropriate data structure and  algorithm for a given contextual problem,5
115,Identify the use of algorithm in program developing.,1
116,"Demonstrate basic concepts of data input and output, operators and expression and control statements.",2
117,Formulate structured programming using various programming constructs.,3
118,Illustrate the use of various data types with demonstration programs.,4
119,"Use simple data structures like arrays, stacks and linked list in solving problems",5
120,Apply file Operations in C programming for a  given application.,6
121,Identify specific and  main details in an academic lecture,1
122,Apply reading strategies to compare and contrast information in a text,2
123,"Plan ,conduct and demonstrate leadership skills in a Group Discussion",3
124,Use appropriate vocabulary in formal contexts,4
125,Prepare formal letters,5
126,Design formal presentations and posters in a creative manner,6
127,"Apply the concept of random variables, probability distributions, specific discrete distributions in various Engineering and social life situations",1
128,Utilize specific continuous distributions in various Engineering and social life situations.,2
129,Employ the concept of joint distributions and the central limit theorem in various Engineering situations,3
130,Demonstrate the theory of  random processes to model problems in communication engineering,4
131,Interpret the theory of  special random processes such as Poisson and Markov models to model problems in communication engineering,5
132,Solve various engineering problems using numerical methods,6
133,Demonstrate the theoretical basis of General procedure of FEA,1
134,Perform finite element formulations for simple engineering problems,2
135,Derive shape functions using different methods,3
136,Derive stiffness matrix for various elements,4
137,Model complex geometry problems using finite element technology,5
138,Illustrate the theory of plate bending.,6
139,Possess a good understanding of the theoretical basis of General procedure of FEA,1
140,Perform finite element formulations for simple engineering problems,2
141,Derive shape functions using different methods,3
142,Derive stiffness matrix for various elements,4
143,Model complex geometry problems using finite element technology,5
144,Possess a good understanding of plate bending theory,6
145,Possess a good understanding of the classification of plates and formulation of differential equation,1
146,Derive different relationships in Pure bending of plates,2
147,Analyse and solve laterally loaded rectangular plates at different boundary conditions,3
148,Identify and select necessary components used in various electronic circuits.,1
149,Solve simply supported rectangular plates under different loading conditions,4
150,Analyse circular plates using polar coordinates,5
151,Analyse shell structures and folded plates,6
152,Design and organize simple circuits using different types of diodes and transistors,2
153,Possess a good understanding of the classification of plates and formulation of differential equation,1
154,Derive different relationships in Pure bending of plates,2
155,Analyse and solve laterally loaded rectangular plates at different boundary conditions,3
156,Solve simply supported rectangular plates under different loading conditions,4
157,Analyse circular plates using polar coordinates,5
158,Analyse shell structures and folded plates,6
159,"Demonstrate the working of analog circuits such as rectifiers, amplifiers and oscillators.",3
160,Illustrate the working of basic building blocks of analog and digital systems such as    Operational amplifiers and Logic gates.,4
161,Demonstrate the use of basic measuring instruments used in electronics work.,5
162,Identify and select necessary components used in various electronic circuits and  testing  using a multimeter,1
163,"Generate waveforms with required frequency and amplitude using function generator and measure voltage, frequency and phase of any waveform using CRO.",2
164,"Analyze characteristics of simple circuits like rectifiers, multivibrators ,logic gates using transistors etc           using bread board and soldering",3
165,Demonstrate the working of  Public  Address System,4
166,To simulate  electronics circuits using  LTSPICE and study the response,5
167,Memorise the basic terms used in the field of civil engineering,1
168,Comprehend questions asked on civil engineering issues,2
169,Quickly associate real life issues to text book solutions,3
170,Apply the basic principles of civil engineering in solving real time issues,4
171,Communicate with confidence on civil engineering solutions,5
172,Identify appropriate AI methods to solve a given problem,1
173,Apply different knowledge representation schemes to organize and manage the knowledge in an intelligent system,2
174,Analyze basic AI search algorithms,3
175,"Apply knowledge representation, reasoning, and machine learning techniques to real-world problems",4
176,Prepare to conduct research in NLP or related fields,5
177,Define and apply search algorithms to solve example problems using Artificial Intelligence language. ,1
178,Describe knowledge representation using propositional and predicate logic for Artificial Intelligence applications .,3
179,Identify learning methods and techniques to find concept description for prediction problems.,4
180,Describe fuzzy logic  role to express knowledge and knowledge processing in expert systems.,5
181,Identify and analyze the sources and effects of air pollution,1
182,Describe the characteristics of water and the relevant purity standards,2
183,Identify composition of industrial waste and its treatment methods,3
184,Identify composition of solid waste and sources of waste generation,4
185,Identify and analyze the causes and sources of  noise pollution and its control,5
186,Identify different water constituents present in a wastewater sample.,1
187,Identify the various types of treatment methods for wastewater,2
188,Illustrate and design various treatment units in a wastewater treatment plant,3
189,Identify suitable waste water disposal methods for domestic sewage,4
190,Select suitable need-based sanitary fixtures for any civil engineering work.,5
191,Identify the pavement components and design bituminous mixes,1
192,Analyze and design of flexible pavements.,2
193,Analyze and design rigid pavements.,3
194,"Design longitudinal, contraction and expansion joints in cement concrete pavements.",4
195,Evaluate structural condition of pavement.,5
196,"Explain the basic properties of fuels. stages of combustion, and different combustion chamber designs",1
197,Analysis and specialises the concepts of Mobile Communication and Computing Technologies,1
198,Analyze the concepts and working of various mobile networks.,2
199,Interpret various mobile OS concepts.,3
200,"Interpret and apply the key technological principles, protocols and methods for delivering and maintaining mobile applications",4
201,Arrange different  Android Development Environments and programs,5
202,Tell current standard-compliant scripting/programming techniques for the successful deployment of mobile applications targeting a variety of platforms.,6
203,Demonstrate the working of IC engines,1
204,Analyze the performance characteristics of IC engines,2
205,Determine the properties of fuels,3
206,Analyze the effect of losses from IC engines,4
207,Discuss the working air compressors,5
208,Measure the performance parameters of blowers,6
209,Explain  Android platform and the Android Studio IDE,1
210,"Differentiate   Android components, Activities and their lifecycle, Intents",2
211,"Design and understand UI Design: Widgets and Layouts, UI Events, Event Listeners",3
212,organize the Use of 2D graphics: Canvas/Drawing using a view,4
213,Experiment and build a functional Android application,5
214,Manage and Debug Android applications using different tools and plugins,6
215,Illustrate   basic concepts of finite element applications,1
216,Formulate the design equations for FEM,2
217,Model complex geometry problems using finite element technology,3
218,Gain knowledge and research in tractor and its attachments,3
219,Solve basic Engineering problems using FEM,4
220,Formulate isoparametric equations for different types of elements,5
221,Define Lift technology and types of cranes,2
222,Analyze the parameters with which the efficiency of cellular systems can be enhanced,1
223,Analyze the various radio wave propagation models and select the appropriate one as per requirements,2
224,Identify the concepts of fading and evaluate the performance,3
225,Evaluate different multiple access techniques,4
226,Demonstrate the basic principles of GSM & CDMA technologies,5
227,Comprehend the features of CDMA digital cellular standards,6
228,Demonstrate how to represent a problem using a production system,6
229,Analyze Big Data Fundamentals,1
230,Apply  the software engineering principles in a software project,1
231,Demonstrate Hadoop applications for Big Data.,2
232,Develop a software product using the Agile methodology.,2
233,Examine Analytic results using HDFS.,3
234,Apply build tools and IDE Environment,3
235,Experiment with different version control system such as GitHub,4
236,Apply the concepts of MapReduce framework,4
237,"Apply technology tools to  analyse, design, develop and test the application",5
238,Compare Big Data Storage Technologies.,5
239,"Design a system, model, component or a process to meet desired/industrial needs",6
240,Select an apropriate analysis technique for Data analysis project.,6
241,"Design a system, model, component or a process to meet  desired/industrial needs",2
242,Analyze the principles of software delivery and Configuration Management System,1
243,Experiment with GIT and gain knowledge in continuous integration environment,2
244,Analyze the stages of  deployment pipeline that leads to the deployment of an application,3
245,Describe the working of  automated testing tools for functional and non functional requirements,4
246,Analyze best coding practices and apply the same in their academic projects,5
247,Infer the pragmatic approach for developing an industry ready application,6
248,Apply the software engineering principles on a real software project,1
249,Develop a software product using the Agile methodology,2
250,Apply build tools and IDE Environment,3
251,Work with different version control system such as git,4
252,"Apply technology tools to analyse, design, develop and test the application",5
253,"Design a system, model, component or a process to meet desired/industrial needs",6
254,Demonstrate the working of standard digital ICs and basic building blocks of logic circuits.,1
255,Demonstrate the functioning of various combinational circuits and design adders.,2
256,Realize MUX and DEMUX circuits and design combinational circuits using them,3
257,Analyze electromagnetic field distribution and directivity of antennas,1
258,Evaluate various techniques involved in the measurement of all relevant antenna parameters.,2
259,"Design various antennas, antenna arrays and work out radiation patterns of antennas",3
260,Compare and demonstrate the basic working of different types of antennas,4
261,Evaluate atmospheric and terrestrial effects on radio wave propagation.,5
262,Model any type of structure with computer software.,1
263,Analyze and design structures using softwares based on IS codal provisions.,2
264,Demonstrate the basic concepts of AUTOCAD to develop structural drawings,3
265,Perform survey operations using Total Station.,4
266,Create and track an entire project to its completion using the elements of project management.,5
267,Demonstrate the functional units of a computer and explain how arithmetic and logical operations are performed.,1
268,Identify and apply different types of assembly language and machine language instructions,2
269,Evaluate various addressing modes and compiler operations,3
270,Illustrate the architecture of different processors and evaluate the performance of the CPU.,4
271,Demonstrate the operation of different I/O systems and Memory devices.,5
272,Recognize  and aply the concepts needed to test the logic of a program using propositions,1
273,Interpret the concepts needed to test the logic of a program using predicates,2
274,Explain number theory and apply it to ensure  secure  communication,3
275,Use a combination of theoretical knowledge and independent mathematical thinking in creative evaluation of questions in graph theory,4
276,Differentiate between Eulerian and Hamiltonian graphs,5
277,Analyse the properties of trees and able to find a minimal spanning tree for a given weighted graph,6
278,Analyse different phenomena associated with the generation and propagation of oscillations and waves,1
279,Demonstrate wave-like phenomena associated with light and use them to measureits properties,2
280,Illustrate the phenomenon of superconductivity and evaluate the properties of the superconducting state,3
281,Identify the features of quantum and statistical phenomena and demonstrate the dynamics of microscopic entities.,4
282,Describe the production and properties of acoustic and ultrasonic waves and demonstrate their applications.,5
283,"Outline the construction and properties of different lasers and optoelectronic devices, and  identify their applications",6
284,Demonstrate the principles of spectroscopy and apply them to explain chemical phenomena,1
285,Illustrate principles and applications of various electrochemical techniques and cells.,2
286,"Describe instrumental methods like chromatography, conductivity and thermal analysis for chemical analysis.",3
287,"Recognize the properties and applications of engineering materials, such as polymers and nanomaterials",4
288,Evaluate the properties of complex chemicals such as fuels and lubricants.,5
289,Describe the properties of water and identify methods for water purification,6
290,"Measure basic physical quantities, such as voltage, frequency, temperature etc and evaluate measurement accuracy.",1
291,"Measure and analyse the properties of electrical and acoustic waves and oscillations, and demonstrate resonance.",2
292,Demonstrate wave-like properties of light and measure the wavelength of monochromatic light sources,3
293,Illustrate the propagation of light through an optical fibre and measure its numerical aperture,4
294,Demonstrate the working of devices such as solar cells and photoelectric cells,5
295,"Construct useful Android applications with compelling user interfaces by using, extending, and creating your own layouts and Views and using Menus",2
296,Organize an experimental set up and measure fundamental constants such as the Planckâ€™s constant.,6
297,Analyze and apply the role of mark-up languages like HTML and implement basic pages,1
298,"Analyze and create web pages using HTML, and Cascading Styles sheets.",2
299,Build dynamic web pages using JavaScript (client side programming).,3
300,Implement the usage of DOM in web pages,4
301,Implement the usage of XML for various applications,5
302,Demonstrate Bernoulli equation and its application to measurement of flow using different equipments,1
303,Build interactive web applications using PHP,6
304,Demonstrate  the stability of floating bodies,2
305,Demonstrate the working of different types of valves and identify the losses involved in pipe flow,3
306,Identify an appropriate pump for any given application/situation and estimate its efficiency.,4
307,Ableto build basic web pages using HTML,1
308,Ableto use CSS to style web pages,2
309,Ableto make use of JavaScript to create dynamic content,3
310,Able make use of PHP and MySQLto build Web Applications,4
311,Able to make use XML and XSLT,5
312,Demonstrate a sound understanding of fundamental concepts of operational amplifiers,1
313,Evaluate the diversity of operations that op amp can perform in a wide range of applications,2
314,Demonstrate a few special functions integrated circuits,3
315,Demonstrate basic concepts and types of data converters,4
316,Demonstrate the basic concepts and operating parameters of OPAMP,1
317,Analyze and design various applications of OPAMP such as Sinusoidal and Non  Sinusoidal Oscillators.,2
318,"Interpret  and design the applications of OPAMP such as Rectifier, Filters",3
319,"Design, implement and test Integrated circuit such as Timer IC 555.",4
320,Gain comprehensive understanding of digital images and its features,1
321,"Apply the concept of random variables, probability distributions, specific discrete distributions in various Engineering and social life situations",1
322,Design of eccentrically loaded and slender columns using SP 16 design charts and different      types of foundations,2
323,Apply specific continuous distributions in various Engineering and social life situations,2
324,Distinguish / Analyse the various concepts and mathematical transforms necessary for image processing,2
325,Understand  sampling distributions,3
326,Apply sampling distributions in practical situations,4
327,Compare and contrast the  various techniques used for image restoration,4
328,Solve various engineering problems using numerical methods for solution of equations and interpolation,5
329,"Use numerical methods for integration,differentiation and solution of differential equations",6
330,Differentiate and interpret the various image enhancement techniques,3
331,Identify different techniques used for image segmentation,5
332,Analyse basic image compression techniques,6
333,Identify the importance of the user interface,1
334,Analyse and evaluate  user interface design process,2
335,Demonstrate an integrated development environment  using menus and navigation schemes,3
336,Discuss the basics of window operations and device based controls,4
337,Demonstrate on internationalization,5
338,Identify and describe testing methods to maintain a good interface,6
339,Sketch basic structure of computer,1
340,Gain familiarity with CDMA mobile standards.,2
341,Compare different addressing modes used in instructions,2
342,Explain the concepts of input/output organization,3
343,Examine basic processing unit,4
344,Identify the concepts of Memory System,5
345,Explain cellular concepts and  multiple access systems,1
346,Describe the  UMTS protocols and architecture.,3
347,State the concepts of 3G services and Applications,4
348,Familiarise the concepts and understand the working of 4G networks,5
349,Outline the general configuration of biomedical instruments and demonstrate the origin of bio electric signals.,1
350,To illuatrate the concepts of neural networks and applications,1
351,Demonstrate the working of various biopotential electrodes as well as an ECG machine.,2
352,Identify the techniques generally adopted for biomedical measurements and signal analysis.,3
353,To identify linear  classification problems and to find suitable solutions,2
354,To analyse the methods of supervised and unsupervised learning.,3
355,Illustrate the working of biomedical instruments utilizing signals from heart brain and lungs.,4
356,Demonstrate the working of biomedical instruments employing different types of radiant energy and imaging techniques.,5
357,Identify instruments used for clinical tets and demonstrate the potential hazards involved in the use of biomedical instruments.,6
358,To analyse non- linear  classification problems and to find suitable solutions,4
359,Understand the concepts that underlie distributed computing systems along with design and implementation issues,1
360,Explain various concepts of Data mining and Data Warehouse,1
361,Experiment different data preprocessing techniques,2
362,Categorize different types of Data,3
363,Define key mechanisms and analyze different models for distributed systems,2
364,Analyze and evaluate different software process models for the design and and development of a software product,1
365,Explain the  different types of file systems and naming services which are used by different client processes.,3
366,Apply Clustering Methods to analyze Business Trends,4
367,Understand the concept of  time related issues in distributed systems.,4
368,Implement different election algorithms related to the issue of how processes coordinate their actions and agree on shared values in distributed systems,5
369,Analyze various applications of data mining,5
370,Explain different shared memory programming models in distributed systems,6
371,Construct frequent itemsets from data sets,6
372,Analyze the asymptotic performance of algorithms.,1
373,"Solve recurrence equations using Iteration Method, Recurrence Tree Method and Masterâ€™s Theorem.",2
374,"Employ data structures like graphs, AVL trees , RedBlack trees, B-trees etc to model engineering problems, when appropriate.",3
375,"Design algorithms using greedy strategy, divide and conquer approach, dynamic programming",4
376,Design efficient algorithms using Back Tracking and Branch Bound Techniques for solving problems.,5
377,"Classify computational problems into P, NP, NP-Hard and NP-Complete",6
378,Relate the concepts of object-oriented programming paradigms and demonstrate skills in these paradigms using Java.,1
379,"Apply characteristics of Java Applets, Exceptions, Multi-threading, Streams, Networking etc.",2
380,Identify the usage of HTML tags in Applets. Examine the basic principles of  creating Java applications with graphical user interface (GUI).,3
381,Construct the classes needed for a given problem specification.,4
382,Setup and formulate classes using the object oriented programming language.,5
383,"Conclude how to test, verify, and debug object-oriented programs and create programs using object oriented principles",6
384,Evaluate the computer graphics display techniques and categorize various graphic software systems,1
385,Analyse the basic output primitive drawing algorithms along with 2D transformation concepts  to display the objects,2
386,Devise the projection transformations  and explain the 3D object represenation models,3
387,Demonstrate the 3D transformation concepts to model an object,4
388,Evaluate different surface detection methods,5
389,Interpret and analyze different forces acting on different mechanisms when they are stationary or in motion.,1
390,Analyze the forces acting on different types of gears under working conditions.,2
391,Interpret the balancing of rotating and reciprocating masses and examine balancing multi- cylinder engines and balancing of machines.,3
392,Identify the different elements involved in good designs and practice them when called for.,1
393,Solve the different stages of Design and formulate detailed designs with solid modeling and visualization.,2
394,Develop the prototype and propose various stages towards final product design.,3
395,"Build a broader perspective of design covering the function, cost, environmental sensitivity, safety and factors other than from engineering analysis",4
396,Identify product oriented and user oriented aspects that make the customer required design.,5
397,Utilize various modern engineering methods and build basic knowledge of Intellectual Property Rights.,6
398,"Apply the concept of random variables, probability distributions, specific discrete distributions in various Engineering problems.",1
399,Utilize specific continuous distributions in various Engineering problems.,2
400,Use Laplace transforms for engineering applications.,3
401,Implement  Fourier transforms for engineering applications.,4
402,Solve various engineering problems using numerical methods for solution of equations and interpolation.,5
403,"Employ  numerical methods for integration, differentiation and solution of differential equations",6
404,Gain the relationships between damage and defects in materials,1
405,Use fundamental theories of fluid mechanics for the analysis of hydraulic machines,1
406,Design components of turbines and pumps and study their characteristics,2
407,Develop open channel flow equations from the basic principles and laws of fluid mechanics,3
408,Apply dimensional analysis principle for problems in fluid mechanics,4
409,Recognize and apply basic modeling laws in fluid mechanics to solve problems,5
410,Analyse reactions of various supports under equilibrium,1
411,Determine the forces in planar and spatial systems,2
412,Comprehend the properties of planes and solids,3
413,Determine friction under static conditions,4
414,"Select conducting, insulating, magnetic, superconducting and semiconducting materials for various engineering applications.",1
415,Identify basic concepts of dynamic problems,5
416,Determine physical and index properties of soil and classify soils based on standard  geotechnical engineering practice,2
417,Interpret working principle of different type of  Circuit breakers.,1
418,Evaluate different type of  Circuit breakers and their operation.,2
419,Interpret the principle and functioning of different types of Electromagnetic protective relays,3
420,Apply the principle and functioning of different types of Static and  Microprocessor  protective relays,4
421,"Practice the protection of Generators, Motors, Transformers and Transmission Lines",5
422,Analyse causes and effects of surges and protective measures,6
423,Assess the characteristics of aggregates used in pavement construction,1
424,Evaluate the quality of subgrade soil used in pavement construction,2
425,Assess the properties of bitumen to be used in pavement construction,3
426,Analyze the properties of various bituminous mixes,4
427,Evaluate the functional characteristics of pavements,5
428,Analyze and design switched mode power converters,1
429,Develop and apply different soft switching techniques,2
430,Identify different pulse width modulation techniques and their application in switched mode converters,3
431,Illustrate the effect of magnetism and resonance in switched mode converters,4
432,Choose appropriate power converter topologies and design power stages for various applications,5
433,Identify the basic structure and functional units of a digital computer,1
434,Illustrate the effect of addressing modes on the execution time of a program,2
435,compare different arithmetic and logic operations used in ALU design,3
436,Examine the  different types of control logic designs in processors,4
437,Categorize the computer memory types based on performance and cost,5
438,Select appropriate interfacing standards for I/O devices.,6
439,Design programs using Object Oriented Programming concepts.,1
440,"Apply features such as composition of Objects, Operator overloading, Inheritance, Polymorphism etc.",2
441,Construct interfaces and packages in the Java programs.,3
442,Design multi-threading in Java programs.,4
443,Design Applets using Java programs,5
444,Construct Java program using Files,6
445,Classify different insulating materials based on their properties and applications,2
446,"Identify the breakdown behavior of gases, liquids, solids and vaccuum under different operating conditions",3
447,Analyse the behavior of conducting  and magnetic materials based on the operating temperature,4
448,Select suitable materials for realization of solar energy conversion systems,5
449,Choose modern processes and tools for material studies,6
450,"Explain the roles that databases play in organizing  with respect to various types of Storage Organizations  such as Sequential , Hash etc.",2
451,Explain the role that database play in organizing the Storage and access.,1
452,Illustrate the basic database structures and access techniques: indexing methods including B+ tree,2
453,"Compare the file organization, query optimization, transaction management and database administration techniques.",3
454,Demonstrate the basics of Object oriented databases and XML,4
455,"Interpret the basics of advanced topics such as database performance tuning, distributed databases",5
456,Support non relational database systems and structures and new generation database systems like MongoDB.,6
457,Develop computational models for analysis of power system in terms of symmetrical components and sequence networks and illustrate per unit system,1
458,Analyse and estimate fault currents and voltages during  symmetrical and unsymmetrical faults,2
459,Perform steady state power flow analysis of power system network using Gauss seidel and NR and FD iterative methods,3
460,"Model and analyse LFC, AGC and AVR for single and two area power system",4
461,"Evaluate the cost of generation and corresponding generation allocated to different units ,taking into account different hydro and thermal constraints",5
462,Analyze Big Data,1
463,Demonstrate Hadoop  applications for Big Data.,2
464,Analyse the stability of simple power system using linear analysis methods and equal area methods,6
465,Examine  Analytic results using  HDFS,3
466,Apply  the concepts of MapReduce framework,4
467,Compare Big Data Storage Technologies,5
468,Select an apropriate  analysis technique for  Data analysis project,6
469,Summarize the basics of electrical engineering applied to various engineering problems,1
470,Perform mathematical analysis of electric circuits and their power measurement,2
471,Illustrate the basics of magnetism and apply them to electric machines,3
472,Assess the basic structure of machines and power systems,4
473,Evaluate the basic circuits and machines used in real world,5
474,Analyze the basic concepts of Machine learning and exploring the input data in detail,1
475,Identify machine learning problems and apply suitable algorithms.,2
476,Interpreting how to apply a variety of learning algorithms to data.,3
477,Examine the strengths and weaknesses of many popular machine learning approaches,4
478,Inferring the basic theory and models used in machine learning.,5
479,Summarizing how to perform evaluation of learning algorithms and improve model selection.,6
480,Design eccentrically loaded and slender columns using SP 16 design charts and different      types of foundations,1
481,Demonstrate general P&ID symbols and I&C drawings used in Chemical Engineering practice.,1
482,Design Pressure vessels and jacketed vessels using given process parameters.,2
483,"Design tall columns, supports and non-standard flanges for a vessel with given specifications.",3
484,Design storage vessels for volatile and non-volatile liquids using given process conditions.,4
485,"Design heat transfer equipment like double pipe heat exchanger, shell and tube heat exchanger and condenser.",5
486,"Construct detailed proportionate drawings of double pipe heat exchanger, shell and tube heat exchanger and condenser.",6
487,Discuss confidently the fundamental aspects of Chemical Engineering,1
488,Demonstrate the depth and breadth of their knowledge on subjects studied in the previous semester,2
489,Evaluate their own theoretical and applied competencies in Chemical Engineering field,3
490,Identify the need for further enhancing knowledge and lifelong learning,4
491,Perform confidently during an interview,5
492,Debate and answer questions of the chosen topic with depth and clarity,6
493,Develop software programmes for simulating Chemical Engineering problems using  MS Excel/ MATLAB / Aspen Plus,1
494,Model and simulate typical chemical plants using Aspen Plus,2
495,"Apply numerical methods for solving nonlinear, transcendental and linear algebraic equations to chemical engineering problems using C++ Programming",3
496,"Apply numerical methods for interpolation, numerical differentiation and numerical integration  to solve chemical engineering problems using C++ Programming",4
497,Analyze the basic concepts of Machine Learning and exploring the input data in detail.,1
498,Identify machine learning problems and apply suitable algorithms.,2
499,Interpreting how to apply a variety of learning algorithms to data.,3
500,Examine the strengths and weekness of many popular machine learning approaches.,4
501,Inferring the basic theory and models used in machine learning.,5
502,Summarizing how to perform evaluation of learning algorithms and improve model selection.,6
503,Identify and explain different circuits and corresponding waveforms in power electronic systems,1
504,"Design and examine power electronics circuits using SCR, MOSFET, IGBT, TRIAC and UJT",2
